reas_group,reas_desc,state,category1,spare4
String|Line1 Reasons|Winder1|Tail Seal,Dropped Log,DOWNTIME,Process Failure - 2404,2924
String|Line1 Reasons|Winder1|Tail Seal,Accum Not Ready,DOWNTIME,Process Failure - 2404,2925
String|Line1 Reasons|Winder1|Tail Seal,Adhesive Cable,DOWNTIME,Process Failure - 2404,2926
String|Line1 Reasons|Winder1|Tail Seal,Adhesive Cable,DOWNTIME,Process Failure - 2404,2927
String|Line1 Reasons|Winder1|Tail Seal,Future Fault 2928,DOWNTIME,Process Failure - 2404,2928
String|Line1 Reasons|Winder1|Tail Seal,Future Fault 2929,DOWNTIME,Process Failure - 2404,2929
String|Line1 Reasons|Winder1|Tail Seal,Future Fault 2930,DOWNTIME,Process Failure - 2404,2930
String|Line1 Reasons,Winder2,DOWNTIME,Process Failure - 2404,8000
String|Line1 Reasons|Winder2,General - Stopped,DOWNTIME,Process Failure - 2404,8002
String|Line1 Reasons|Winder2,General,DOWNTIME,Process Failure - 2404,8100
String|Line1 Reasons|Winder2|General,Operator Stop,DOWNTIME,Process Failure - 2404,8101
String|Line1 Reasons|Winder2|General,Communication Fault,DOWNTIME,Process Failure - 2404,8110
String|Line1 Reasons|Winder2|General,Accumulator Full,DOWNTIME,Process Failure - 2404,8122
String|Line1 Reasons|Winder2|General,Future Fault 2123,DOWNTIME,Process Failure - 2404,8123
String|Line1 Reasons|Winder2|General,Future Fault 2124,DOWNTIME,Process Failure - 2404,8124
String|Line1 Reasons|Winder2|General,Future Fault 2125,DOWNTIME,Process Failure - 2404,8125
String|Line1 Reasons|Winder2|General,Future Fault 2126,DOWNTIME,Process Failure - 2404,8126
String|Line1 Reasons|Winder2|General,Future Fault 2127,DOWNTIME,Process Failure - 2404,8127
String|Line1 Reasons|Winder2|General,Future Fault 2128,DOWNTIME,Process Failure - 2404,8128
String|Line1 Reasons|Winder2|General,Future Fault 2129,DOWNTIME,Process Failure - 2404,8129
String|Line1 Reasons|Winder2|General,Future Fault 2130,DOWNTIME,Process Failure - 2404,8130
