Site,Asset Name,MES Ent in ABLE,Type,PLC
Atlanta Main,NEW HC5 Giramat,None,SEC,NEW HC5 Giramat PLC
Atlanta Main,NEW HC5 Dynac,None,SEC,NEW HC5 Dynac PLC
Atlanta Main,NEW HC5 Filler,None,SEC,NEW HC5 Filler PLC
Atlanta Main,NEW HC5 Trigger Inserter,None,SEC,NEW HC5 Trigger Inserter PLC
Atlanta Main,NEW HC5 Trigger Sorter,None,SEC,NEW HC5 Trigger Sorter PLC
Atlanta Main,NEW HC5 Sleever,None,SEC,NEW HC5 Sleever PLC
Atlanta Main,NEW HC5 Case Packer,None,SEC,NEW HC5 Case Packer PLC
Atlanta Main,NEW HC5 Case Sealer,None,SEC,NEW HC5 SLCS PLC
Atlanta Main,NEW HC5 Palletizer,None,SEC,NEW HC5 Palletizer PLC
Atlanta Main,NEW HC5 Print And Apply,None,VIRT,NEW HC5 SLCS PLC
Atlanta Main,NEW HC5 Stretch Wrapper,None,SEC,NEW HC5 Stretch Wrapper PLC
Atlanta Main,NEW_HC6,None,LINE,None
Atlanta Main,NEW HC6 SIPA1,None,SEC,HC6 SLCS PLC
Atlanta Main,NEW HC6 SIPA2,None,SEC,HC6 SLCS PLC
Atlanta Main,NEW HC6 Posijet Airveyor,None,VIRT,HC6 Posijet Airveyor PLC
Atlanta Main,NEW HC6 Filler,None,SEC,HC6 SLCS PLC
Atlanta Main,NEW HC6 Capper,None,SEC,HC6 Capper PLC
Atlanta Main,NEW HC6 Labeler,None,SEC,HC6 Labeler PLC
Atlanta Main,NEW HC6 Erector Bliss,None,SEC,HC6 Erector Bliss PLC
Atlanta Main,NEW HC6 Erector Bliss 2,None,SEC,HC6 Erector Bliss 2 PLC
Atlanta Main,NEW HC6 Erector RSC,None,SEC,HC6 Erector RSC PLC
Atlanta Main,NEW HC6 Dog Bone,None,SEC,HC6 Dog Bone PLC
Atlanta Main,NEW HC6 Ind Sealer,None,SEC,HC6 SLCS PLC
Atlanta Main,NEW HC6 Case Sealer,None,SEC,HC6 SLCS PLC
Atlanta Main,NEW HC6 Case Packer,None,SEC,HC6 Case Packer PLC
Atlanta Main,NEW HC6 Coder,None,VIRT,HC6 SLCS PLC
Atlanta Main,NEW HC6 Palletizer,None,SEC,HC6 Palletizer PLC
Atlanta Main,NEW HC6 Stretch Wrapper,None,SEC,HC6 Stretch Wrapper PLC
Atlanta Main,PML HC1 Decaser,None,VIRT,HC1 Decaser PLC
Atlanta Main,PML HC1 Posiflex,None,VIRT,HC1 Posiflex PLC
Atlanta Main,PML HC1 Giramat,None,VIRT,HC1 Giramat PLC
Atlanta Main,PML HC1 Filler-Capper,None,VIRT,New HC1 SLCS PLC
Atlanta Main,PML HC1 Sleever,None,VIRT,HC1 Sleever PLC
Atlanta Main,PML HC1 Twin Sleever,None,VIRT,HC1 Twin Sleever PLC
Atlanta Main,PML HC1 Flexlink Accum,None,VIRT,HC1 Flexlink Accum PLC
Atlanta Main,PML HC1 Case Packer,None,VIRT,HC1 Case Packer PLC
Atlanta Main,PML HC1 Case Sealer,None,VIRT,New HC1 SLCS PLC
Atlanta Main,PML HC1 Palletizer,None,VIRT,HC1 Palletizer PLC
Atlanta Main,PML HC1 Stretch Wrapper,None,VIRT,HC1 Stretch Wrapper PLC
Atlanta Main,PML HC2 Decaser,None,VIRT,HC2 SLCS PLC
Atlanta Main,PML HC2 Posiflex,None,VIRT,HC2 Posiflex PLC
Atlanta Main,PML HC2 Giramat,None,VIRT,HC2 Giramat PLC
Atlanta Main,PML HC2 Labeler,None,VIRT,HC2 Labeler PLC
Atlanta Main,PML HC2 Filler,None,VIRT,HC2 Filler PLC
Atlanta Main,PML HC2 Capper,None,VIRT,HC2 Capper PLC
Atlanta Main,PML HC2 Case Packer,None,VIRT,HC2 Case Packer PLC
Atlanta Main,PML HC2 Case Sealer,None,VIRT,HC2 SLCS PLC
Atlanta Main,PML HC2 Palletizer,None,VIRT,HC2 Palletizer PLC
Atlanta Main,PML HC2 Stretch Wrapper,None,VIRT,HC2 Stretch Wrapper PLC
Atlanta Main,PML HC5 Decaser,None,VIRT,NEW HC5 Decaser PLC
Atlanta Main,PML HC5 Posiflex,None,VIRT,NEW HC5 Posiflex PLC
Atlanta Main,PML HC5 Giramat,None,VIRT,NEW HC5 Giramat PLC
Atlanta Main,PML HC5 Dynac,None,VIRT,NEW HC5 Dynac PLC
Atlanta Main,PML HC5 Filler,None,VIRT,NEW HC5 Filler PLC
Atlanta Main,PML HC5 Trigger Inserter,None,VIRT,NEW HC5 Trigger Inserter PLC
Atlanta Main,PML HC5 Trigger Sorter,None,VIRT,NEW HC5 Trigger Sorter PLC
Atlanta Main,PML HC5 Sleever,None,VIRT,NEW HC5 Sleever PLC
Atlanta Main,PML HC5 Case Packer,None,VIRT,NEW HC5 Case Packer PLC
