reas_group,reas_desc,state,category1,spare4
String|Retort|CHARRING|3003 - Furnace Comb Air,Fur Comb Air #2 High Amps,DOWNTIME,None,120186
String|Retort|CHARRING|3003 - Furnace Comb Air,#3003 Fur Comb Air #2 Breaker,DOWNTIME,None,120197
String|Retort|CHARRING|3003 - Furnace Comb Air,#3003 Fur Comb Air #2 Disc. Sw,DOWNTIME,None,120207
String|Retort|CHARRING|3003 - Furnace Comb Air,#3003 Fur Comb Air #2 Overloads,DOWNTIME,None,120217
String|Retort|CHARRING|3004 - Furnace Shaft Fan,#3004 Fur Shaft Fan Alm,DOWNTIME,None,120164
String|Retort|CHARRING|3004 - Furnace Shaft Fan,Fur Shaft Fan High Amps,DOWNTIME,None,120187
String|Retort|CHARRING|3004 - Furnace Shaft Fan,Furn.Shaft Cooling Fan Lo Amps,DOWNTIME,None,120194
String|Retort|CHARRING|3004 - Furnace Shaft Fan,#3004 Fur Shaft Fan Breaker,DOWNTIME,None,120198
String|Retort|CHARRING|3004 - Furnace Shaft Fan,#3004 Fur Shaft Fan Disc. Sw,DOWNTIME,None,120208
String|Retort|CHARRING|3004 - Furnace Shaft Fan,#3004 Fur Shaft Fan Overloads,DOWNTIME,None,120218
String|Retort|CHARRING|3004 - Furnace Shaft Fan,Shaft Cooling Fan Off,DOWNTIME,None,120225
String|Retort|CHARRING|3005 - Furnace Drive,#3005 Fur. Drive Alm,DOWNTIME,None,120165
String|Retort|CHARRING|3005 - Furnace Drive,Fur. Drive High Amps,DOWNTIME,None,120188
String|Retort|CHARRING|3005 - Furnace Drive,#3005 Fur. Drive Breaker,DOWNTIME,None,120199
String|Retort|CHARRING|3005 - Furnace Drive,#3005 Fur. Drive Disc. Sw,DOWNTIME,None,120209
String|Retort|CHARRING|3005 - Furnace Drive,#3005 Fur. Drive Overloads,DOWNTIME,None,120219
String|Retort|CHARRING|3005 - Furnace Drive,#3005 Furn Drive SSL,DOWNTIME,None,120227
String|Retort|CHARRING|3006 - Furnace Disc Screw,#3006 Furn.Dis Scr 1  Alm,DOWNTIME,None,120166
String|Retort|CHARRING|3006 - Furnace Disc Screw,Furn.Dis Scr 1  High Amps,DOWNTIME,None,120189
String|Retort|CHARRING|3006 - Furnace Disc Screw,#3006 Furn.Dis Scr 1  Breaker,DOWNTIME,None,120200
String|Retort|CHARRING|3006 - Furnace Disc Screw,#3006 Furn.Dis Scr 1 Disc. Sw,DOWNTIME,None,120210
String|Retort|CHARRING|3006 - Furnace Disc Screw,#3006 Furn.Dis Scr 1  Overloads,DOWNTIME,None,120220
String|Retort|CHARRING|3006 - Furnace Disc Screw,#3006 Furn.Dis Scr 1  SSL,DOWNTIME,None,120228
